obj_plate_obj_ID,obj_plate,obj_plate_roman,obj_plate_num,obj_geo_B-U-S,obj_block,obj_house,obj_house_roman,obj_room,obj_geo_B-U-S_2,obj_block2,obj_house2_roman,obj_house2,obj_room2,obj_geo_STRT-S,obj_street_abbr,obj_street,obj_st_num_2dig,obj_st_num,obj_level_ft,obj_time_cat,obj_admin_blockorigtext,obj_admin_room2origtext,obj_admin_blockadj,obj_admin_blocksub,obj_admin_roomadj,obj_admin_datanotes,obj_source_cat,obj_category,addl_type,addl_description,addl_dimension,bead_Len_or_Ht_in,bead_width_in,bead_Thickness_in,bead_Diameter_in,bead_Pottery,bead_Shell,bead_Falence,bead_Vltreous_paste,bead_Paste,bead_Steatite,bead_Gold,bead_Silver,bead_Copper_or_Bronze,bead_Carnelian,bead_Lapls_lazuli,bead_Jasper,bead_Quartz,bead_Green_felspar,bead_Onyx,bead_Agate,bead_Haematte,bead_Limestone,bead_Serpentine,bead_Breccia,bead_Turquoise,metl_type,metl_copper,metl_bronze,metl_length_in,metl_width_in,metl_thickness_of_tang_in,metl_thickness_of_blade_in,metl_height_in,metl_diameter_in,ptip_thickness_in,ptip_width_in,ptip_length_in,ptip_slips_lt_red,ptip_slips_dark_red,ptip_slips_cream_or_white,ptip_slips_green,ptip_slips_pink,ptip_degrainssants_sand,ptip_degrainssants_mica,ptip_degrainssants_lime,ptip_degrainssants_dirt,ptip_paints_black,ptip_paints_red,ptip_paints_green,ptip_paints_yellow,ptip_paints_white,ptip_width_and_length_orig,ptup_field_No,ptup_slips_lt_red,ptup_slips_dark_red,ptup_slips_cream_or_white,ptup_slips_green,ptup_slips_pink,ptup_degrainssants_sand,ptup_degrainssants_mica,ptup_degrainssants_lime,ptup_degrainssants_dirt,ptup_paints_black,ptup_paints_red,ptup_paints_green,ptup_paints_yellow,ptup_paints_white,ptup_height,ptup_length,ptup_breadth,ptup_thickness,ptpb_type,ptpb_field_No,ptpb_pastes_lt_red,ptpb_pastes_pink,ptpb_pastes_grey,ptpb_pastes_drab,ptpb_slips_crown_or_white,ptpb_slips_red,ptpb_slips_brown_or_purple,ptpb_slips_black,ptpb_slips_pink,ptpb_degrainssants_sand,ptpb_degrainssants_mica,ptpb_degrainssants_lime,ptpb_degrainssants_dirt,ptpb_paints_black,ptpb_paints_purple_black,ptpb_paints_red,ptpb_paints_white,ptpb_trimming,seal_type,seal_material,seal_dimensions_L_in,seal_dimensions_W_in,seal_dimensions_T_in,seal_dimensions_in_orig
068-017-X,068,LXVIII,17,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,2.62,2.18,,,,,1,,1,1,,1,,,,,2.62*2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-018-X,068,LXVIII,18,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,10,7.85,,,,,1,,1,1,,1,,,,,10.0*7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-019-X,068,LXVIII,19,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,4.22,2.85,,,,,1,,1,1,,1,,,,,4.22*2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-020-X,068,LXVIII,20,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3.73,1.6,,,,,1,,1,1,,1,,,,,3.73*1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-021-X,068,LXVIII,21,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.6,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6.67,3.86,,,,,1,,1,1,,1,,,,,6.67*3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-022-X,068,LXVIII,22,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,10.65,0.8,,,,,1,,1,1,,1,,,,,10.65*.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055-030-X,055,LV,30,09-X-04-07-X,9,04,IV,7,,,,,,,,,,,-7.1,Late III,9,,09,,07,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,DK. 8180,1,,,,,,,,,1,1,,,,,,,,,,,,,
055-034-X,055,LV,34,09-X-07-51-X,9,07,VII,51,,,,,,,,,,,-8.1,Late III,9,,09,,51,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,DK. 4998,,,,,,,,,,,,,,,,,,,,,,,,
055-041-X,055,LV,41,09-X-04-07-X,9,04,IV,7,,,,,,,,,,,-5.9,Late II,9,,09,,07,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,DK. 3453,1,,,,1,,,,,,1,,,,,,,,,,,,,
056-002-X,056,LVI,2,09-X-03-30-X,9,03,III,30,,,,,,,,,,,-5.6,Late II,9,,09,,30,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,DK. 3784,1,,,,,,,,,,1,1,,,,,,,,,,,,
056-007-X,056,LVI,7,09-X-08-20-X,9,08,VIII,20,,,,,,,,,,,-6.9,Late II,9,,09,,20,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,DK. 8048,1,,,,,,1,,,,1,,,,,1,,1,,,,,,
056-009-X,056,LVI,9,09-X-08-20-X,9,08,VIII,20,,,,,,,,,,,-6.9,Late II,9,,09,,20,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,DK. 8063,1,,,,,,1,,,,1,1,,,,,,,,,,,,
068-023-X,068,LXVIII,23,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.6,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.13,8.75,,,,,1,,1,1,,1,,,,,9.13*8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-024-X,068,LXVIII,24,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-7,Late III,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,13.9,8.6,,,,,1,,1,1,,1,,,,,13.9*8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068-025-X,068,LXVIII,25,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10.25,9.5,,,,,1,,1,1,,1,,,,,10.25*9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056-014-X,056,LVI,14,09-X-03-35-X,9,03,III,35,,,,,,,,,,,-3.7,Late Ib,9,,09,,35,,Pottery_Plain_Banded_M,Pottery - Plain and Banded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,DK. 3382,1,,,,,,,,,,1,,,,,,,,,,,,,
068-026-X,068,LXVIII,26,07-X-05-68-X,7,05,V,68,,,,,,,,,,,-6.9,Late II,7,,07,,68,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,8.03,8.03,,,,,1,,1,1,,1,,,,,8.03*8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069-007-X,069,LXIX,7,01-X-05-48-X,1,05,V,48,,,,,,,,,,,-11.8,Intermediate I,1,,01,,48,,Pottery_Incised_Painted_M,Pottery - Incised and Painted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.81,3.3,1,,,,,,,,,1,1,,,,4.81*3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
