Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Class,x,y,Class_new,Path,,,,,,,,,,,,
055-033-X,7,3,44,-6.7,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_44/055-033-x.png,,,,,,,,,,,,
055-034-X,9,7,51,-8.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13684339292682,27.32681827002492,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_7/Room_51/055-034-x.png,,,,,,,,,,,,
055-041-X,9,4,7,-5.9,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/055-041-x.png,,,,,,,,,,,,
056-001-X,7,7,58,-4.5,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13735250456675,27.326651737149003,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_7/Room_58/056-001-x.png,,,,,,,,,,,,
056-002-X,9,3,30,-5.6,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13723189893246,27.326929151802386,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_3/Room_30/056-002-x.png,,,,,,,,,,,,
056-007-X,9,8,20,-6.9,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13686443,27.32711984250432,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_8/Room_20/056-007-x.png,,,,,,,,,,,,
056-009-X,9,8,20,-6.9,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13686443,27.32711984250432,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_8/Room_20/056-009-x.png,,,,,,,,,,,,
056-014-X,9,3,35,-3.7,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13723189893246,27.326929151802386,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_3/Room_35/056-014-x.png,,,,,,,,,,,,
056-015-X,9,6,78,-6.7,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_78/056-015-x.png,,,,,,,,,,,,
056-018-X,9,10,81,-6.5,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_81/056-018-x.png,,,,,,,,,,,,
