image_file,plate,house,room,full_path
057-043-x.png,057-043-x,House_12,Room_94,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_12/Room_94/057-043-x.png
058-005-x.png,058-005-x,House_12,Room_90,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_12/Room_90/058-005-x.png
078-009-x.png,078-009-x,House_12,Room_90,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_12/Room_90/078-009-x.png
073-005-x.png,073-005-x,House_2,Room_8,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_8/073-005-x.png
079-006-x.png,079-006-x,House_2,Room_9,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_9/079-006-x.png
055-010-x.png,055-010-x,House_2,Room_9,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_9/055-010-x.png
056-049-x.png,056-049-x,House_2,Room_11,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_11/056-049-x.png
081-018-x.png,081-018-x,House_2,Room_11,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_11/081-018-x.png
056-023-x.png,056-023-x,House_2,Room_11,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_2/Room_11/056-023-x.png
062-051-x.png,062-051-x,House_5,Room_0,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_0/062-051-x.png
068-016-x.png,068-016-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-016-x.png
068-017-x.png,068-017-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-017-x.png
068-024-x.png,068-024-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-024-x.png
068-019-x.png,068-019-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-019-x.png
068-026-x.png,068-026-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-026-x.png
068-022-x.png,068-022-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-022-x.png
068-020-x.png,068-020-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-020-x.png
068-018-x.png,068-018-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-018-x.png
068-025-x.png,068-025-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-025-x.png
068-021-x.png,068-021-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-021-x.png
068-023-x.png,068-023-x,House_5,Room_68,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_68/068-023-x.png
057-016-x.png,057-016-x,House_5,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_78/057-016-x.png
067-010-x.png,067-010-x,House_5,Room_64,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_64/067-010-x.png
067-009-x.png,067-009-x,House_5,Room_64,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_64/067-009-x.png
067-011-x.png,067-011-x,House_5,Room_64,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_5/Room_64/067-011-x.png
077-015-x.png,077-015-x,House_4,Room_6,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_6/077-015-x.png
056-030-x.png,056-030-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/056-030-x.png
055-001-x.png,055-001-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/055-001-x.png
055-003-x.png,055-003-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/055-003-x.png
058-001-x.png,058-001-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/058-001-x.png
056-050-x.png,056-050-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/056-050-x.png
055-041-x.png,055-041-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/055-041-x.png
055-030-x.png,055-030-x,House_4,Room_7,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_7/055-030-x.png
054-012-x.png,054-012-x,House_4,Room_72,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_72/054-012-x.png
056-056-x.png,056-056-x,House_4,Room_4,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_4/056-056-x.png
056-055-x.png,056-055-x,House_4,Room_40,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_4/Room_40/056-055-x.png
068-013-x.png,068-013-x,House_3,Room_0,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_0/068-013-x.png
068-004-x.png,068-004-x,House_3,Room_11,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_11/068-004-x.png
070-038-x.png,070-038-x,House_3,Room_29,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_29/070-038-x.png
077-018-x.png,077-018-x,House_3,Room_29,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_29/077-018-x.png
070-039-x.png,070-039-x,House_3,Room_29,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_29/070-039-x.png
056-014-x.png,056-014-x,House_3,Room_35,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_35/056-014-x.png
070-031-x.png,070-031-x,House_3,Room_35,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_35/070-031-x.png
070-034-x.png,070-034-x,House_3,Room_35,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_35/070-034-x.png
061-027-x.png,061-027-x,House_3,Room_35,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_35/061-027-x.png
079-011-x.png,079-011-x,House_3,Room_35,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_35/079-011-x.png
068-001-X.png,068-001-x,House_3,Room_40,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_40/068-001-X.png
066-008-x.png,066-008-x,House_3,Room_52,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_52/066-008-x.png
057-003-x.png,057-003-x,House_3,Room_52,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_52/057-003-x.png
066-053-x.png,066-053-x,House_3,Room_52,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_52/066-053-x.png
055-021-x.png,055-021-x,House_3,Room_39,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_39/055-021-x.png
069-003-x.png,069-003-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/069-003-x.png
069-001-x.png,069-001-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/069-001-x.png
072-008-x.png,072-008-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/072-008-x.png
056-002-x.png,056-002-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/056-002-x.png
072-010-x.png,072-010-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/072-010-x.png
072-009-x.png,072-009-x,House_3,Room_30,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_3/Room_30/072-009-x.png
058-011-x.png,058-011-x,House_11,Room_70,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_11/Room_70/058-011-x.png
072-003-x.png,072-003-x,House_10,Room_81,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_10/Room_81/072-003-x.png
